wire_id,bundle,circuit,signal,rail,endpoint_a,endpoint_b,connector_a,termination_a,connector_b,termination_b,from_xyz,to_xyz,route,gauge,routed_mm_est,service_slack_mm,strain_relief_mm,cut_length_mm,confidence,disposition,cut_to_fit_at_dry_fit,color_label,joint_ids,electrical_basis,ordering_class
W-PDB-011,on-PDB,RAIL_A_DOCK_FEED,+5 V,A clean,PDB.RAIL_A.+5V,CAS-DOCK.RAIL_A_INPUT.+5V,PDB rail pad,SOLDERED,XT30 shrouded/socket source half,SOLDERED cup,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +42…+58, L near −32, Z local TBD",on-PDB: Rail-A pad → visually blue-banded XT30 dock feed,20 AWG,50,30,20,100,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,red · blue band · RAIL_A_DOCK_FEED +,J-CAS-004; J-CAS-012; J-CAS-017,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30",BASE
W-PDB-012,on-PDB,RAIL_A_DOCK_FEED,GND,A clean,PDB.GND_STAR,CAS-DOCK.RAIL_A_INPUT.GND,PDB rail pad,SOLDERED,XT30 shrouded/socket source half,SOLDERED cup,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +42…+58, L near −32, Z local TBD",on-PDB: Rail-A pad → visually blue-banded XT30 dock feed,20 AWG,50,30,20,100,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,black · blue band · RAIL_A_DOCK_FEED GND,J-CAS-004; J-CAS-012; J-CAS-017,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30",BASE
W-PDB-013,on-PDB,RAIL_B_DOCK_FEED,+5 V,B servos,PDB.RAIL_B.+5V,CAS-DOCK.RAIL_B_INPUT.+5V,PDB rail pad,SOLDERED,XT30 shrouded/socket source half,SOLDERED cup,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +42…+58, L near −32, Z local TBD",on-PDB: Rail-B pad → visually yellow-banded XT30 dock feed,20 AWG,50,30,20,100,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,red · yellow band · RAIL_B_DOCK_FEED +,J-CAS-004; J-CAS-012; J-CAS-017,"Connector map: Rail B bus · PDB → servo loads · 5 V, GND · XT30",BASE
W-PDB-014,on-PDB,RAIL_B_DOCK_FEED,GND,B servos,PDB.GND_STAR,CAS-DOCK.RAIL_B_INPUT.GND,PDB rail pad,SOLDERED,XT30 shrouded/socket source half,SOLDERED cup,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +42…+58, L near −32, Z local TBD",on-PDB: Rail-B pad → visually yellow-banded XT30 dock feed,20 AWG,50,30,20,100,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,black · yellow band · RAIL_B_DOCK_FEED GND,J-CAS-004; J-CAS-012; J-CAS-017,"Connector map: Rail B bus · PDB → servo loads · 5 V, GND · XT30",BASE
W-PDB-015,on-PDB,BATTERY_ADC,battery divider tap,A clean,PDB.27k/10k_DIV_TAP,ESP32#1.GPIO34,PDB divider pad,SOLDERED,ESP32#1 pad; no connector specified,SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +3…+42, L −43…−30, Z +1…+32","on-PDB → cassette wall; short quiet run, twisted beside its star-ground return",28 AWG,70,40,20,130,FIRM electrical / ASSUMPTION physical,HOLD — cassette/ESP32 dry-fit,YES,white · blue band · ADC34,J-CAS-004; J-CAS-007,PDB contents: 27 k / 10 k divider tap → ESP32 #1 GPIO34,BASE
W-CAS-001,on-cassette,ESP32_1_POWER,+5 V,A clean,PDB.RAIL_A.+5V,ESP32#1.+5V,XT30 load half (mates shrouded/socket PDB source),SOLDERED cup,ESP32#1 power pad/header,SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +3…+42, L −43…−30, Z +1…+32",on-cassette; separate clean-rail branch; WiFi route waits on placement,22 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,red · blue band · ESP32_1_POWER +,J-CAS-004; J-CAS-007; J-CAS-008; J-CAS-010,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30 per branch",BASE
W-CAS-002,on-cassette,ESP32_1_POWER,GND,A clean,PDB.GND_STAR,ESP32#1.GND,XT30 load half (mates shrouded/socket PDB source),SOLDERED cup,ESP32#1 power pad/header,SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +3…+42, L −43…−30, Z +1…+32",on-cassette; separate clean-rail branch; WiFi route waits on placement,22 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,black · blue band · ESP32_1_POWER GND,J-CAS-004; J-CAS-007; J-CAS-008; J-CAS-010,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30 per branch",BASE
W-CAS-003,on-cassette,ESP32_2_POWER,+5 V,A clean,PDB.RAIL_A.+5V,ESP32#2.+5V,XT30 load half (mates shrouded/socket PDB source),SOLDERED cup,ESP32#2 power pad/header,SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +3…+42, L +30…+43, Z +1…+32",on-cassette; separate clean-rail branch; WiFi route waits on placement,22 AWG,70,40,20,130,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,red · blue band · ESP32_2_POWER +,J-CAS-004; J-CAS-007; J-CAS-008; J-CAS-010,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30 per branch",BASE
W-CAS-004,on-cassette,ESP32_2_POWER,GND,A clean,PDB.GND_STAR,ESP32#2.GND,XT30 load half (mates shrouded/socket PDB source),SOLDERED cup,ESP32#2 power pad/header,SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X +3…+42, L +30…+43, Z +1…+32",on-cassette; separate clean-rail branch; WiFi route waits on placement,22 AWG,70,40,20,130,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,black · blue band · ESP32_2_POWER GND,J-CAS-004; J-CAS-007; J-CAS-008; J-CAS-010,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30 per branch",BASE
W-CAS-005,on-cassette,WIFI_POWER,+5 V,A clean,PDB.RAIL_A.+5V,BL-M8812EU2.+5V,XT30 load half (mates shrouded/socket PDB source),SOLDERED cup,BL-M8812EU2 power pad/header,SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19",UNPLACED in cassette; X/L/Z TBD,on-cassette; separate clean-rail branch; WiFi route waits on placement,20 AWG,90,40,20,150,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,red · blue band · WIFI_POWER +,J-CAS-004; J-CAS-007; J-CAS-008; J-CAS-010,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30 per branch",BASE
W-CAS-006,on-cassette,WIFI_POWER,GND,A clean,PDB.GND_STAR,BL-M8812EU2.GND,XT30 load half (mates shrouded/socket PDB source),SOLDERED cup,BL-M8812EU2 power pad/header,SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19",UNPLACED in cassette; X/L/Z TBD,on-cassette; separate clean-rail branch; WiFi route waits on placement,20 AWG,90,40,20,150,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,black · blue band · WIFI_POWER GND,J-CAS-004; J-CAS-007; J-CAS-008; J-CAS-010,"Connector map: Rail A bus · PDB → clean loads · 5 V, GND · XT30 per branch",BASE
W-CAS-007,on-cassette,CRSF,RP1_TX,A clean,RP1.RP1_TX,ESP32#1.GPIO16,JST-XH 4-pin source pigtail,CRIMPED contact; module end SOLDERED,JST-XH 4-pin RP1 pigtail,CRIMPED contact; RP1 end SOLDERED,"X −12.2…+0.8, L −6…+5, Z +13…+16","X +3…+42, L −43…−30, Z +1…+32",on-cassette rear service deck; twist TX/RX and keep off switching nodes,28 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,white · CRSF RX16,J-CAS-007; J-CAS-009; J-CAS-014,"Connector map: CRSF · RP1 ↔ ESP32 #1 · RP1_TX→GPIO16, GPIO17→RP1_RX, 5 V, GND · JST-XH 4-pin",BASE
W-CAS-008,on-cassette,CRSF,CRSF telemetry,A clean,ESP32#1.GPIO17,RP1.RP1_RX,JST-XH 4-pin source pigtail,CRIMPED contact; module end SOLDERED,JST-XH 4-pin RP1 pigtail,CRIMPED contact; RP1 end SOLDERED,"X +3…+42, L −43…−30, Z +1…+32","X −12.2…+0.8, L −6…+5, Z +13…+16",on-cassette rear service deck; twist TX/RX and keep off switching nodes,28 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,white · CRSF TX17,J-CAS-007; J-CAS-009; J-CAS-014,"Connector map: CRSF · RP1 ↔ ESP32 #1 · RP1_TX→GPIO16, GPIO17→RP1_RX, 5 V, GND · JST-XH 4-pin",BASE
W-CAS-009,on-cassette,CRSF,+5 V,A clean,PDB.RAIL_A.+5V,RP1.+5V,JST-XH 4-pin source pigtail,CRIMPED contact; module end SOLDERED,JST-XH 4-pin RP1 pigtail,CRIMPED contact; RP1 end SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X −12.2…+0.8, L −6…+5, Z +13…+16",on-cassette rear service deck; twist TX/RX and keep off switching nodes,22 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,red · blue band · CRSF 5V,J-CAS-007; J-CAS-009; J-CAS-014,"Connector map: CRSF · RP1 ↔ ESP32 #1 · RP1_TX→GPIO16, GPIO17→RP1_RX, 5 V, GND · JST-XH 4-pin",BASE
W-CAS-010,on-cassette,CRSF,GND,A clean,PDB.GND_STAR,RP1.GND,JST-XH 4-pin source pigtail,CRIMPED contact; module end SOLDERED,JST-XH 4-pin RP1 pigtail,CRIMPED contact; RP1 end SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X −12.2…+0.8, L −6…+5, Z +13…+16",on-cassette rear service deck; twist TX/RX and keep off switching nodes,22 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,black · blue band · CRSF GND,J-CAS-007; J-CAS-009; J-CAS-014,"Connector map: CRSF · RP1 ↔ ESP32 #1 · RP1_TX→GPIO16, GPIO17→RP1_RX, 5 V, GND · JST-XH 4-pin",BASE
W-CAS-011,on-cassette,LINK2,link2 TX,A clean,ESP32#1.GPIO25,ESP32#2.GPIO16,JST-XH 3-pin board-#1 half,CRIMPED contact; module end SOLDERED,JST-XH 3-pin board-#2 half,CRIMPED contact; module end SOLDERED,"X +3…+42, L −43…−30, Z +1…+32","X +3…+42, L +30…+43, Z +1…+32",on-cassette between opposed mini-board wall seats,28 AWG,70,40,20,130,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,white · LINK2 25→16,J-CAS-007; J-CAS-008; J-CAS-014,"Connector map: link2 · GPIO25→GPIO16(#2), (opt) GPIO26←GPIO17(#2), GND · JST-XH 3-pin",BASE
W-CAS-012,on-cassette,LINK2,optional ack,A clean,ESP32#2.GPIO17,ESP32#1.GPIO26,JST-XH 3-pin board-#1 half,CRIMPED contact; module end SOLDERED,JST-XH 3-pin board-#2 half,CRIMPED contact; module end SOLDERED,"X +3…+42, L +30…+43, Z +1…+32","X +3…+42, L −43…−30, Z +1…+32",on-cassette between opposed mini-board wall seats,28 AWG,70,40,20,130,FIRM electrical / ASSUMPTION physical,OPTIONAL — not opened in firmware; do not populate,YES,violet · OPT ACK 17→26,J-CAS-007; J-CAS-008; J-CAS-014,"Connector map: link2 · GPIO25→GPIO16(#2), (opt) GPIO26←GPIO17(#2), GND · JST-XH 3-pin",OPTIONAL
W-CAS-013,on-cassette,LINK2,GND,A clean,ESP32#1.GND,ESP32#2.GND,JST-XH 3-pin board-#1 half,CRIMPED contact; module end SOLDERED,JST-XH 3-pin board-#2 half,CRIMPED contact; module end SOLDERED,"X +3…+42, L −43…−30, Z +1…+32","X +3…+42, L +30…+43, Z +1…+32",on-cassette between opposed mini-board wall seats,28 AWG,70,40,20,130,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,black · LINK2 GND,J-CAS-007; J-CAS-008; J-CAS-014,"Connector map: link2 · GPIO25→GPIO16(#2), (opt) GPIO26←GPIO17(#2), GND · JST-XH 3-pin",BASE
W-CAS-014,on-cassette,I2S_AUDIO,BCLK,A clean,ESP32#2.GPIO26,MAX98357A.BCLK,JST-XH 5-pin source pigtail,CRIMPED contact; source end SOLDERED,JST-XH 5-pin amp pigtail,CRIMPED contact; amp end SOLDERED,"X +3…+42, L +30…+43, Z +1…+32","X −31…−13.2, L −10.2…+9.2, Z +13…+16","on-cassette rear service deck; clocks/data grouped, speaker pair separated",28 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,white · I2S BCLK26,J-CAS-008; J-CAS-018; J-CAS-014,"Connector map: I2S audio · BCLK26, LRCLK25, DIN22, +5 V(A), GND · JST-XH 5-pin",BASE
W-CAS-015,on-cassette,I2S_AUDIO,LRCLK,A clean,ESP32#2.GPIO25,MAX98357A.LRCLK,JST-XH 5-pin source pigtail,CRIMPED contact; source end SOLDERED,JST-XH 5-pin amp pigtail,CRIMPED contact; amp end SOLDERED,"X +3…+42, L +30…+43, Z +1…+32","X −31…−13.2, L −10.2…+9.2, Z +13…+16","on-cassette rear service deck; clocks/data grouped, speaker pair separated",28 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,white · I2S LRCLK25,J-CAS-008; J-CAS-018; J-CAS-014,"Connector map: I2S audio · BCLK26, LRCLK25, DIN22, +5 V(A), GND · JST-XH 5-pin",BASE
W-CAS-016,on-cassette,I2S_AUDIO,DIN,A clean,ESP32#2.GPIO22,MAX98357A.DIN,JST-XH 5-pin source pigtail,CRIMPED contact; source end SOLDERED,JST-XH 5-pin amp pigtail,CRIMPED contact; amp end SOLDERED,"X +3…+42, L +30…+43, Z +1…+32","X −31…−13.2, L −10.2…+9.2, Z +13…+16","on-cassette rear service deck; clocks/data grouped, speaker pair separated",28 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,white · I2S DIN22,J-CAS-008; J-CAS-018; J-CAS-014,"Connector map: I2S audio · BCLK26, LRCLK25, DIN22, +5 V(A), GND · JST-XH 5-pin",BASE
W-CAS-017,on-cassette,I2S_AUDIO,+5 V,A clean,PDB.RAIL_A.+5V,MAX98357A.+5V,JST-XH 5-pin source pigtail,CRIMPED contact; source end SOLDERED,JST-XH 5-pin amp pigtail,CRIMPED contact; amp end SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X −31…−13.2, L −10.2…+9.2, Z +13…+16","on-cassette rear service deck; clocks/data grouped, speaker pair separated",22 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,red · blue band · AMP 5V,J-CAS-008; J-CAS-018; J-CAS-014,"Connector map: I2S audio · BCLK26, LRCLK25, DIN22, +5 V(A), GND · JST-XH 5-pin",BASE
W-CAS-018,on-cassette,I2S_AUDIO,GND,A clean,PDB.GND_STAR,MAX98357A.GND,JST-XH 5-pin source pigtail,CRIMPED contact; source end SOLDERED,JST-XH 5-pin amp pigtail,CRIMPED contact; amp end SOLDERED,"X +1…+46, L −27.5…+27.5, Z +1…+19","X −31…−13.2, L −10.2…+9.2, Z +13…+16","on-cassette rear service deck; clocks/data grouped, speaker pair separated",22 AWG,60,40,20,120,FIRM electrical / ASSUMPTION physical,HOLD — cassette physical dry-fit,YES,black · blue band · AMP GND,J-CAS-008; J-CAS-018; J-CAS-014,"Connector map: I2S audio · BCLK26, LRCLK25, DIN22, +5 V(A), GND · JST-XH 5-pin",BASE
W-CAS-019,on-cassette,STEERING,sig,B servos,ESP32#1.GPIO13,CAS-DOCK.STEERING_SOURCE.SIG,ESP32#1 pad,SOLDERED,positive-lock 3-pin servo dock source contact,CRIMPED contact,"X +3…+42, L −43…−30, Z +1…+32","X +42…+58, L near +32, Z local TBD",on-cassette → stepped/wrapped servo bank; no centre-spine run,28 AWG,80,50,20,150,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,white · yellow band · W-STEER SIG13,J-CAS-007; J-CAS-013; J-CAS-017,Connector map: Steering servo · ESP32 #1 GPIO13 · 3-pin servo,BASE
W-CAS-020,on-cassette,ESC_SIGNAL,sig,B servos,ESP32#1.GPIO14,CAS-DOCK.ESC_SOURCE.SIG,ESP32#1 pad,SOLDERED,positive-lock 3-pin servo dock source contact,CRIMPED contact,"X +3…+42, L −43…−30, Z +1…+32","X +42…+58, L near +32, Z local TBD",on-cassette → stepped/wrapped servo bank; no centre-spine run,28 AWG,80,50,20,150,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,white · yellow band · W-ESC SIG14,J-CAS-007; J-CAS-013; J-CAS-017,"Connector map: ESC signal · ESP32 #1 GPIO14 → ESC · 3-pin servo, +5 V pin removed",BASE
W-CAS-021,on-cassette,DRS,sig,B servos,ESP32#1.GPIO18,CAS-DOCK.DRS_SOURCE.SIG,ESP32#1 pad,SOLDERED,positive-lock 3-pin servo dock source contact,CRIMPED contact,"X +3…+42, L −43…−30, Z +1…+32","X +42…+58, L near +32, Z local TBD",on-cassette → stepped/wrapped servo bank; no centre-spine run,28 AWG,80,50,20,150,FIRM electrical / ASSUMPTION physical,DEFER — MG90S in transit,YES,white · yellow band · W-DRS SIG18,J-CAS-007; J-CAS-013; J-CAS-017,Connector map: DRS servo · ESP32 #1 GPIO18 · 3-pin servo,BASE
W-CAS-022,on-cassette,PAN,sig,B servos,ESP32#1.GPIO19,CAS-DOCK.PAN_SOURCE.SIG,ESP32#1 pad,SOLDERED,positive-lock 3-pin servo dock source contact,CRIMPED contact,"X +3…+42, L −43…−30, Z +1…+32","X +42…+58, L near 0, Z local TBD",on-cassette → stepped/wrapped servo bank; no centre-spine run,28 AWG,80,50,20,150,FIRM electrical / ASSUMPTION physical,DEFER — MG90S in transit,YES,white · yellow band · W-PAN SIG19,J-CAS-007; J-CAS-013; J-CAS-017,Connector map: Gimbal pan · ESP32 #1 GPIO19 · 3-pin servo,BASE
W-CAS-023,on-cassette,TILT,sig,B servos,ESP32#1.GPIO23,CAS-DOCK.TILT_SOURCE.SIG,ESP32#1 pad,SOLDERED,positive-lock 3-pin servo dock source contact,CRIMPED contact,"X +3…+42, L −43…−30, Z +1…+32","X +42…+58, L near 0, Z local TBD",on-cassette → stepped/wrapped servo bank; no centre-spine run,28 AWG,80,50,20,150,FIRM electrical / ASSUMPTION physical,DEFER — MG90S in transit,YES,white · yellow band · W-TILT SIG23,J-CAS-007; J-CAS-013; J-CAS-017,Connector map: Gimbal tilt · ESP32 #1 GPIO23 · 3-pin servo,BASE
W-CAS-024,on-cassette,LED,data,A clean,ESP32#2.GPIO4,CAS-DOCK.LED_SOURCE.DATA,ESP32#2 pad,SOLDERED,JST-XH 3-pin dock source contact,CRIMPED contact,"X +3…+42, L +30…+43, Z +1…+32","X +42…+58, L near +32, Z local TBD",on-cassette → signal bank; keep with its ground branch,28 AWG,90,50,20,160,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,white · blue band · LED DATA4,J-CAS-008; J-CAS-014; J-CAS-017,"Connector map: LEDs · ESP32 #2 GPIO4 → WS2812B · data, +5 V(A), GND · JST-XH 3-pin",BASE
W-CAS-025,on-cassette,HALL,sig,A clean,CAS-DOCK.HALL_SOURCE.SIG,ESP32#1.GPIO35,JST-XH 3-pin dock source contact,CRIMPED contact,ESP32#1 pad,SOLDERED,"X +42…+58, L near +32, Z local TBD","X +3…+42, L −43…−30, Z +1…+32",signal bank → ESP32#1; twist beside Hall ground; 10 k pull-up stays on board,28 AWG,80,50,20,150,FIRM electrical / ASSUMPTION physical,HOLD — cassette/dock dry-fit,YES,white · blue band · HALL GPIO35,J-CAS-007; J-CAS-014; J-CAS-017,"Connector map: Hall · sensor → ESP32 #1 GPIO35 · sig, +5 V(A), GND",BASE
W-CAS-026,on-cassette,CAMERA_USB,D+,A clean,CAS-DOCK.USB4_SOURCE.D+,BL-M8812EU2.DP,shielded USB 4-pin dock source contact,CRIMPED or SOLDERED per selected USB4,BL-M8812EU2 USB pad,SOLDERED,"X +42…+58, L near 0, Z local TBD",UNPLACED in cassette; X/L/Z TBD,on-cassette from shielded USB4 dock seat → unplaced WiFi seat,28 AWG,90,60,20,170,FIRM electrical / ASSUMPTION physical,HOLD — WiFi placement and USB4 body dry-fit,YES,green · USB D+,J-CAS-010; J-CAS-014; J-CAS-017,Connector map: Camera ↔ WiFi · D+→DP · shielded 4-pin / micro-USB,BASE
